State Fiscal Year Ending,District Code,District,Total Staffing,Intake/Case Maintenance,Services Program,Services Administration,Employment Programs,Medicaid Eligibility Determination and Payment Authorization,Medicaid Policy Planning and Administration,Training,Supplemental Nutrition Assistance Program,Child Support,Fraud and Abuse,Home Energy Assistance Program,Welfare Management System,Other Reimbursable Programs,TANF Funded Services,Administrative Overhead,Non-Administrative Local Program,Overall Overhead
2020,32,Ontario,155,17,48,17,12,17,0,8,10,13,1,2,0,1,2,8,0,0
2020,31,Onondaga,612,89,179,42,13,68,10,4,79,49,16,12,0,0,6,39,5,0
2020,30,Oneida,399,82,117,15,16,24,0,2,43,37,14,16,10,0,0,25,0,0
2020,29,Niagara,402,85,112,22,16,27,0,1,47,33,10,12,3,1,7,26,0,0
2020,28,Nassau,745,125,222,50,46,117,1,5,50,43,8,0,2,0,1,74,0,0
2020,27,Montgomery,108,8,30,1,5,13,2,1,11,9,4,3,2,0,0,18,0,0
2020,26,Monroe,892,202,334,32,36,61,0,5,79,51,20,15,7,2,21,24,3,0
2020,25,Madison,116,9,32,18,4,11,0,2,11,11,0,7,2,0,1,7,2,1
2020,24,Livingston,115,17,44,7,1,7,0,2,5,7,1,2,0,0,1,20,0,0
2020,23,Lewis,61,4,18,1,2,6,0,1,9,4,2,2,2,1,0,9,0,0
2020,22,Jefferson,206,19,75,4,4,17,0,1,32,14,3,7,4,0,0,23,2,0
2020,21,Herkimer,117,5,30,12,5,7,6,1,15,12,1,4,3,0,0,17,0,0
2020,20,Hamilton,10,0,3,1,0,1,0,0,1,1,0,0,0,0,0,3,0,0
2020,19,Greene,91,5,37,1,2,7,2,1,6,6,5,1,1,0,0,16,0,0
2020,17,Fulton,121,7,42,1,5,12,1,1,11,11,6,4,5,0,2,12,0,0
2019,38,Rensselaer,218,31,72,10,10,22,0,1,18,12,8,5,4,0,0,23,0,1
2019,66,New York City,22084,4773,3376,1949,696,1727,17,186,1536,612,836,18,2,30,54,121,2584,3566
2019,57,Yates,44,3,16,1,2,5,0,1,5,4,1,0,0,0,0,7,0,0
2019,56,Wyoming,79,9,15,3,3,13,0,2,10,6,1,1,2,2,4,0,0,6
2019,55,Westchester,1021,166,356,52,63,117,9,1,72,59,29,4,3,1,1,87,0,0
2019,54,Wayne,148,21,46,7,4,30,0,1,13,10,2,2,2,0,0,9,0,0
2019,53,Washington,128,14,37,8,5,18,0,1,12,11,5,4,2,0,3,7,0,0
2019,52,Warren,118,13,32,4,3,24,0,0,10,9,3,3,0,0,6,10,0,0
2019,51,Ulster,296,29,136,8,5,44,0,1,18,21,4,6,2,0,0,22,0,0
2019,50,Tompkins,142,17,47,10,5,14,3,1,14,9,2,4,2,0,0,0,2,12
2019,49,Tioga,86,4,26,6,3,4,1,2,9,6,2,5,2,0,0,16,0,0
2019,48,Sullivan,173,15,62,5,3,17,0,1,14,12,9,7,5,1,2,20,0,1
2019,47,Suffolk,1418,250,455,27,20,245,32,1,126,108,18,13,6,2,0,116,0,0
2019,46,Steuben,188,13,60,8,10,18,0,1,16,23,6,5,1,0,0,26,0,0
2019,45,Seneca,78,5,34,0,0,11,1,1,7,7,1,1,2,0,0,8,0,0
2019,44,Schuyler,53,3,15,3,3,5,0,0,4,4,2,1,1,0,0,9,2,1
2019,43,Schoharie,75,3,25,4,2,11,0,1,6,6,2,1,1,0,0,12,0,0
2019,42,Schenectady,213,29,112,7,0,14,1,1,16,14,6,2,1,0,0,10,0,0
2019,41,Saratoga,203,14,71,10,3,34,1,1,24,20,5,7,5,1,0,7,1,0
2019,40,St. Lawrence,211,15,55,18,10,28,1,2,14,21,5,6,2,0,0,34,1,0
2019,39,Rockland,336,35,141,2,13,31,0,3,31,24,12,1,10,0,0,23,8,4
2019,37,Putnam,80,3,21,5,4,14,1,0,4,5,1,0,3,1,1,16,0,0
2019,36,Otsego,120,8,58,1,5,8,0,2,8,4,1,4,2,1,0,20,0,0
2019,35,Oswego,286,28,122,14,5,14,0,1,32,22,7,6,4,1,2,29,1,0
2019,34,Orleans,75,7,26,0,0,11,0,0,4,9,2,2,1,2,0,11,0,0
2019,33,Orange,433,75,152,31,0,38,0,3,32,31,13,4,13,1,0,38,0,2
2019,32,Ontario,157,18,50,16,10,17,0,6,12,13,2,2,0,1,4,7,0,0
2019,31,Onondaga,609,92,181,41,10,71,10,3,83,48,16,7,0,0,6,35,4,0
2019,30,Oneida,409,81,99,30,19,26,0,3,39,41,14,20,10,0,0,26,0,0
2019,29,Niagara,407,95,110,23,17,25,0,1,43,34,11,12,4,1,7,25,0,0
2019,28,Nassau,763,124,237,48,46,121,1,4,51,42,8,0,3,0,0,76,0,0
2019,27,Montgomery,111,9,31,1,6,14,2,1,11,10,4,3,2,0,0,18,0,0
2019,26,Monroe,871,200,310,36,34,59,0,3,77,55,26,13,6,5,16,25,5,0
2019,25,Madison,117,9,34,17,4,11,0,2,10,11,0,7,2,0,0,7,2,1
2019,24,Livingston,116,17,44,9,0,9,0,2,6,8,1,2,0,0,1,16,0,0
2019,23,Lewis,62,5,18,1,3,7,0,1,7,5,1,2,2,1,0,10,0,0
2019,22,Jefferson,205,18,78,4,4,17,0,1,31,14,2,7,5,0,0,20,4,0
2019,21,Herkimer,119,6,26,12,4,10,2,1,15,13,1,4,4,0,0,20,0,0
2019,20,Hamilton,10,1,3,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0
2019,19,Greene,90,6,34,1,1,7,3,3,5,5,5,1,1,0,0,18,0,0
2019,18,Genesee,102,6,35,8,3,22,0,0,10,7,2,1,1,0,0,7,0,0
2019,17,Fulton,119,9,40,1,5,12,1,1,12,10,6,4,4,0,1,12,0,0
2019,16,Franklin,137,10,56,1,5,18,0,1,8,11,2,7,6,0,0,11,1,0
2019,15,Essex,89,4,35,1,2,12,2,1,5,9,2,2,2,0,0,12,0,0
2019,14,Erie,1367,185,319,160,107,120,0,5,138,90,65,35,0,1,4,132,6,0
2019,13,Dutchess,363,33,100,42,4,39,0,2,27,38,9,7,2,0,0,61,0,0
2019,12,Delaware,93,3,36,6,2,10,1,1,6,5,3,1,0,0,0,19,0,0
2019,11,Cortland,121,20,42,12,5,8,0,1,8,10,2,3,2,0,0,8,0,0
2019,10,Columbia,152,12,39,18,5,16,0,2,14,12,5,4,3,0,0,22,0,0
2019,09,Clinton,169,16,66,11,6,19,1,1,10,13,2,3,2,2,1,17,0,0
2019,08,Chenango,113,7,28,2,3,7,0,1,6,9,2,2,3,0,0,20,22,0
2019,07,Chemung,178,19,48,25,2,21,0,1,17,17,4,5,1,1,0,17,0,0
2019,06,Chautauqua,298,31,96,7,18,34,4,1,22,29,8,5,0,8,0,33,0,0
2019,05,Cayuga,142,21,46,4,5,18,0,1,16,12,5,2,3,0,0,8,0,1
2019,04,Cattaraugus,175,21,50,5,15,20,0,0,22,16,3,5,2,2,0,14,0,0
2019,03,Broome,335,36,99,35,20,40,6,3,22,25,1,4,7,0,0,37,1,0
2019,02,Allegany,97,8,26,5,7,7,1,0,11,14,3,3,1,0,0,12,0,0
2019,01,Albany,442,59,147,21,22,25,1,3,18,26,10,13,0,2,0,41,49,5
2018,57,Yates,44,3,16,1,2,5,0,0,5,4,1,1,0,0,0,7,0,0
2018,56,Wyoming,80,9,15,3,3,14,1,1,11,7,2,1,2,1,5,0,0,7
2018,55,Westchester,1015,165,341,43,78,118,10,2,56,62,38,6,6,0,1,88,0,0
2018,54,Wayne,147,21,45,7,3,32,0,1,13,11,2,2,2,0,0,8,0,0
2018,53,Washington,128,16,37,8,5,18,0,1,12,11,5,2,3,0,2,8,0,0
2018,52,Warren,121,11,35,4,4,25,0,0,10,11,3,2,0,0,6,11,0,0
2018,51,Ulster,290,31,129,7,6,44,0,1,20,20,4,3,2,0,0,21,0,0
2018,50,Tompkins,178,21,59,12,6,16,3,2,17,11,2,4,2,0,0,0,3,19
2018,49,Tioga,87,5,26,7,3,5,1,2,10,6,2,4,2,0,0,15,0,0
2018,48,Sullivan,176,15,63,5,2,18,0,1,15,12,10,8,5,0,2,20,0,1
2018,47,Suffolk,1455,245,457,30,21,264,33,2,136,112,18,10,6,1,0,121,0,0
2018,46,Steuben,185,13,57,7,10,17,0,1,18,25,7,5,1,0,0,25,0,0
2018,45,Seneca,79,5,34,0,0,12,1,1,8,7,1,1,2,0,0,8,0,0
2018,44,Schuyler,52,4,15,2,3,5,0,0,3,4,2,1,1,0,0,9,2,1
2018,43,Schoharie,75,4,27,5,2,8,0,1,5,6,1,2,1,0,0,14,0,0
2018,42,Schenectady,212,29,108,7,0,16,1,1,17,14,6,2,1,0,0,10,0,0
2018,41,Saratoga,207,13,71,11,4,37,1,1,25,20,5,6,5,0,0,7,0,0
2018,40,St. Lawrence,213,16,51,18,10,30,3,2,15,21,5,6,2,0,0,34,1,0
2018,39,Rockland,339,37,139,2,15,31,0,3,31,25,11,1,10,0,0,23,8,2
2018,38,Rensselaer,221,28,78,10,9,24,0,1,17,13,8,6,4,0,0,22,0,1
2018,37,Putnam,82,4,20,5,4,16,1,0,5,5,1,0,3,1,1,16,0,0
2018,36,Otsego,120,9,57,1,6,10,0,2,8,4,1,3,2,1,0,16,0,0
2018,35,Oswego,298,33,124,13,7,13,0,1,31,23,8,6,4,2,2,31,1,0
2018,34,Orleans,76,6,26,0,2,12,0,0,4,9,2,1,1,2,0,11,0,0
2018,33,Orange,422,73,149,29,0,38,0,3,34,30,12,4,12,0,0,37,0,2
2018,32,Ontario,156,18,50,16,11,19,0,5,11,13,2,2,0,0,3,7,1,0
2018,31,Onondaga,615,98,191,40,11,73,10,3,78,49,18,4,0,0,6,31,4,0
2018,30,Oneida,429,91,109,25,17,26,0,3,42,44,13,15,9,0,0,35,0,0
2018,29,Niagara,410,94,107,23,18,26,0,1,43,36,12,13,5,1,7,25,0,0
2018,66,New York City,22056,4776,3175,1905,917,1649,21,193,1608,613,907,20,2,29,59,161,2496,3527
2018,28,Nassau,780,123,244,50,49,128,1,4,49,44,8,0,4,0,0,76,0,0
2018,27,Montgomery,111,10,29,2,5,17,2,1,11,8,3,3,1,1,0,20,0,0
2018,26,Monroe,885,218,305,34,32,58,0,5,78,55,24,12,6,7,18,27,5,0
2018,25,Madison,116,9,33,17,4,13,0,1,11,11,1,5,2,0,0,8,1,1
2018,24,Livingston,118,18,44,10,1,9,0,1,6,8,1,2,0,0,1,18,0,0
2018,23,Lewis,64,6,19,1,3,7,0,1,8,5,1,1,2,1,0,10,0,0
2018,22,Jefferson,206,21,78,6,4,20,0,1,28,14,4,5,5,0,0,19,1,0
2018,21,Herkimer,121,8,27,13,5,12,1,1,12,13,1,3,5,0,0,21,0,0
2018,20,Hamilton,11,1,3,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0
2018,19,Greene,87,6,30,1,2,7,3,5,5,5,6,1,1,0,0,15,0,0
2018,18,Genesee,103,4,36,7,4,22,0,0,12,7,2,1,1,0,0,7,0,0
2018,17,Fulton,121,9,41,1,5,11,1,1,13,11,6,4,4,0,1,13,0,0
2018,16,Franklin,134,13,51,1,5,22,1,2,8,11,3,3,6,0,0,9,0,0
2018,15,Essex,89,4,33,1,3,13,2,1,5,9,2,2,2,0,0,11,0,0
2018,14,Erie,1345,187,331,154,105,123,0,5,134,90,67,29,0,1,4,110,5,0
2018,13,Dutchess,357,34,95,39,5,39,0,2,27,38,9,7,2,0,0,61,0,0
2018,12,Delaware,94,1,34,9,1,17,2,1,7,5,3,1,0,0,0,14,0,0
2018,11,Cortland,122,19,43,12,5,9,0,1,8,10,3,2,2,0,0,7,0,0
2018,10,Columbia,154,12,41,16,6,17,1,2,15,12,6,2,4,0,0,21,0,0
2018,09,Clinton,173,16,66,11,7,19,2,1,11,13,2,3,2,2,1,16,0,0
2018,08,Chenango,113,7,29,3,4,5,0,1,6,8,3,1,3,0,0,22,22,0
2018,07,Chemung,167,17,47,23,2,21,0,1,15,16,4,3,1,1,0,16,0,0
2018,06,Chautauqua,309,32,96,7,21,40,5,1,24,30,10,6,1,9,0,28,0,0
2018,05,Cayuga,137,18,44,4,5,18,0,1,15,11,4,4,4,0,0,7,0,1
2018,04,Cattaraugus,173,19,51,5,15,22,0,0,24,15,2,5,2,1,0,13,0,0
2018,03,Broome,338,34,94,37,21,45,6,2,22,27,1,4,7,0,0,37,1,0
2018,02,Allegany,99,8,27,5,7,9,1,0,11,14,2,3,1,0,0,13,0,0
2018,01,Albany,460,58,156,19,21,27,2,3,20,29,12,13,0,2,0,42,50,6
2017,66,New York City,21905,5161,2995,1806,623,1728,21,192,1686,674,1003,20,2,28,15,168,2321,3418
2017,57,Yates,43,3,15,1,2,5,0,0,3,4,1,1,0,0,0,7,0,0
2017,56,Wyoming,79,9,15,2,4,14,0,1,10,7,1,1,1,1,1,0,0,7
2017,55,Westchester,1006,169,349,40,72,113,10,2,50,58,38,5,8,0,0,91,0,0
2017,54,Wayne,147,21,45,7,1,32,0,1,15,11,2,1,2,0,0,9,0,0
2017,53,Washington,125,12,37,9,6,15,0,1,12,11,5,3,3,0,1,9,0,0
2017,52,Warren,122,12,32,4,4,27,0,0,11,11,3,2,0,0,1,10,0,0
2017,51,Ulster,289,34,124,7,7,46,1,1,20,20,4,4,2,0,0,20,0,0
2017,50,Tompkins,174,21,56,12,7,17,4,2,17,11,2,3,2,0,0,0,2,19
2017,49,Tioga,88,5,25,6,2,6,1,3,13,7,2,1,2,0,0,15,0,0
2017,48,Sullivan,166,12,59,5,2,19,0,1,12,11,8,7,5,0,0,21,0,0
2017,47,Suffolk,1499,257,453,30,21,281,35,2,141,117,17,9,6,1,0,126,0,0
2017,46,Steuben,186,13,57,7,11,18,0,0,18,26,8,3,1,0,0,24,0,0
2017,45,Seneca,79,5,34,0,0,12,1,1,8,7,1,1,2,0,0,8,0,0
2017,44,Schuyler,52,4,15,2,3,5,0,0,4,4,2,1,1,0,0,8,3,1
2017,43,Schoharie,74,5,26,4,2,10,0,0,5,6,1,1,1,0,0,13,0,0
2017,42,Schenectady,206,27,108,6,0,15,1,1,17,13,6,3,1,0,0,9,0,0
2017,41,Saratoga,206,14,65,13,4,38,1,1,24,21,5,6,5,1,0,8,0,0
2017,40,St. Lawrence,218,16,47,18,11,34,3,2,16,22,5,7,2,0,0,33,3,0
2017,39,Rockland,354,36,139,2,16,40,1,3,36,25,11,2,9,0,0,25,8,2
2017,38,Rensselaer,216,28,78,13,9,22,0,1,18,15,6,5,4,0,0,18,0,0
2017,37,Putnam,83,4,20,5,4,17,1,0,4,5,1,0,3,1,0,16,0,0
2017,36,Otsego,122,10,55,1,6,16,0,1,6,5,1,3,3,1,0,14,0,0
2017,35,Oswego,284,30,114,14,8,14,0,1,31,22,9,4,4,2,1,29,1,0
2017,34,Orleans,77,7,26,0,2,11,0,0,4,9,2,1,1,2,0,10,0,0
2017,33,Orange,404,66,143,28,0,38,0,3,31,29,12,3,11,0,0,37,0,2
2017,32,Ontario,159,17,50,17,11,20,0,6,13,12,2,2,0,0,1,7,0,0
2017,31,Onondaga,651,100,203,41,7,85,11,3,79,52,19,8,0,0,1,36,4,0
2017,30,Oneida,430,90,108,22,15,28,0,3,44,44,13,15,12,0,0,36,0,0
2017,29,Niagara,411,92,104,23,19,32,0,1,44,35,12,12,5,1,2,25,0,0
2017,28,Nassau,791,127,249,52,50,125,2,3,50,48,7,0,4,0,0,73,0,0
2017,27,Montgomery,111,12,27,2,5,19,2,1,11,7,1,2,1,1,0,19,0,0
2017,26,Monroe,894,242,300,33,30,55,0,4,76,53,24,12,6,9,4,27,5,0
2017,25,Madison,116,9,31,17,4,13,0,2,12,11,0,6,2,0,0,9,0,0
2017,24,Livingston,119,17,44,8,1,9,0,1,6,8,1,2,0,0,0,19,0,0
2017,23,Lewis,64,5,20,1,3,7,0,1,7,5,2,1,2,1,0,10,0,0
2017,22,Jefferson,207,19,77,5,3,22,0,1,28,14,5,5,5,0,0,19,3,0
2017,21,Herkimer,123,10,27,11,5,14,1,1,11,13,1,4,5,0,0,20,0,0
2017,20,Hamilton,10,1,3,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0
2017,19,Greene,86,6,29,1,2,7,2,5,5,6,6,1,2,0,0,15,0,0
2017,18,Genesee,103,5,38,9,4,21,0,0,10,7,2,1,1,0,0,6,0,0
2017,17,Fulton,123,8,43,1,6,10,3,1,11,10,6,7,4,0,0,12,0,0
2017,16,Franklin,134,12,50,2,5,22,1,2,8,12,3,2,5,1,0,9,0,0
2017,15,Essex,90,5,33,0,4,13,2,1,5,9,2,1,2,0,0,12,0,0
2017,14,Erie,1347,186,326,146,103,127,0,5,142,91,65,33,0,4,1,111,5,0
2017,13,Dutchess,359,38,96,37,5,38,0,2,26,37,10,6,2,0,0,62,0,0
2017,12,Delaware,93,1,37,6,1,19,0,1,9,5,3,0,0,0,0,12,0,0
2017,11,Cortland,126,18,44,12,6,10,0,1,9,11,2,2,2,0,0,8,0,0
2017,10,Columbia,154,16,41,15,6,14,1,2,11,11,9,1,4,0,0,21,1,0
2017,09,Clinton,174,15,65,11,7,22,2,1,13,13,2,3,2,2,0,16,0,0
2017,08,Chenango,112,11,28,3,1,7,0,1,5,8,3,2,3,0,0,20,20,0
2017,07,Chemung,164,13,50,19,2,20,0,1,18,16,5,3,1,1,0,18,0,0
2017,06,Chautauqua,314,28,98,7,22,43,5,1,26,32,10,5,1,9,0,27,0,0
2017,05,Cayuga,140,19,45,5,7,19,0,1,14,11,4,3,3,0,0,8,0,1
2017,04,Cattaraugus,175,18,51,5,16,25,0,0,24,15,2,5,2,1,0,11,0,0
2017,03,Broome,345,36,89,37,22,52,9,3,22,27,1,4,6,1,0,37,1,0
2017,02,Allegany,101,7,28,4,7,11,1,0,11,13,2,2,1,1,0,14,0,0
2017,01,Albany,472,60,152,19,20,29,1,3,21,31,13,12,0,5,0,40,58,6
2016,29,Niagara,418,94,103,25,20,35,0,1,44,36,12,11,5,1,6,25,0,0
2016,66,New York City,21724,4946,2941,1727,558,2053,25,233,1648,774,1071,20,0,27,59,60,2106,3477
2016,57,Yates,44,2,16,1,2,5,0,0,4,4,0,1,0,0,0,8,0,0
2016,56,Wyoming,80,10,15,3,4,13,0,2,10,7,1,1,2,1,4,0,0,7
2016,55,Westchester,992,170,348,51,35,119,10,2,52,61,40,6,9,0,0,90,0,0
2016,54,Wayne,149,22,45,7,1,33,0,1,14,11,3,2,2,0,0,9,0,0
2016,53,Washington,122,13,36,8,5,16,0,1,12,10,5,3,3,0,2,9,0,0
2016,52,Warren,121,12,31,4,4,27,0,0,11,11,3,2,1,0,5,9,0,0
2016,51,Ulster,295,37,123,7,7,53,1,1,20,20,4,4,2,0,0,17,0,0
2016,50,Tompkins,177,21,54,12,7,21,6,2,16,12,2,3,2,0,0,0,1,19
2016,49,Tioga,90,5,25,6,3,6,1,3,13,7,2,3,3,0,0,14,0,0
2016,48,Sullivan,164,13,56,6,3,20,0,0,12,11,10,6,6,0,2,18,0,0
2016,47,Suffolk,1557,268,458,30,23,307,35,2,144,125,17,10,7,1,0,131,0,0
2016,46,Steuben,189,13,59,6,11,20,0,0,19,27,7,4,1,0,0,23,0,0
2016,45,Seneca,79,8,34,0,1,10,1,1,7,7,1,1,2,0,1,8,0,0
2016,44,Schuyler,51,3,13,2,3,5,0,0,5,4,2,1,1,0,0,9,2,1
2016,43,Schoharie,78,5,27,4,2,12,0,0,6,7,1,1,1,0,0,12,0,0
2016,42,Schenectady,211,32,111,6,0,15,1,1,13,13,6,2,1,0,0,8,0,0
2016,41,Saratoga,209,13,67,13,3,42,1,1,24,21,5,6,5,0,1,8,0,0
2016,40,St. Lawrence,224,18,45,20,12,37,3,2,16,23,6,7,3,0,0,29,2,0
2016,39,Rockland,355,39,141,2,14,45,1,3,35,24,8,1,8,0,0,24,8,2
2016,38,Rensselaer,223,30,80,16,8,22,0,1,17,15,6,6,4,0,0,18,0,0
2016,37,Putnam,80,4,18,6,4,17,1,0,4,5,1,0,3,0,1,15,0,0
2016,36,Otsego,124,11,55,1,6,20,0,1,5,5,1,3,3,1,0,13,0,0
2016,35,Oswego,276,27,113,13,9,18,0,0,34,22,7,6,4,2,2,16,1,0
2016,34,Orleans,77,7,24,2,2,12,0,0,5,9,2,1,1,3,0,10,0,0
2016,33,Orange,413,67,144,29,0,41,0,3,30,29,12,5,12,0,0,38,1,2
2016,32,Ontario,164,18,51,16,11,24,0,4,14,13,2,2,0,0,3,7,0,0
2016,31,Onondaga,658,102,202,37,8,91,11,3,75,54,22,8,0,0,5,37,2,0
2016,30,Oneida,419,88,100,20,7,34,0,3,46,42,15,16,12,0,0,35,0,0
2016,28,Nassau,773,130,239,49,41,127,2,4,48,46,8,0,4,0,1,75,0,0
2016,27,Montgomery,111,9,29,2,5,21,2,1,11,7,1,2,2,2,0,17,0,0
2016,26,Monroe,905,221,306,35,38,64,0,3,77,57,29,16,6,10,10,27,5,0
2016,25,Madison,115,9,32,16,4,14,0,2,12,11,1,5,2,0,0,9,0,0
2016,24,Livingston,119,16,43,9,1,10,0,1,6,8,1,2,0,0,1,19,0,0
2016,23,Lewis,66,6,20,1,3,7,0,1,7,5,2,2,2,1,1,9,0,0
2016,22,Jefferson,210,18,76,5,3,28,0,1,30,14,5,4,5,0,0,19,3,0
2016,21,Herkimer,123,8,31,8,5,13,1,1,13,13,1,4,4,0,0,19,0,1
2016,20,Hamilton,11,1,3,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0
2016,19,Greene,94,8,34,1,2,8,2,3,6,6,6,1,1,0,0,16,0,0
2016,18,Genesee,104,5,39,9,3,21,0,0,9,7,2,1,1,0,0,6,0,0
2016,17,Fulton,124,10,41,1,7,10,5,1,10,10,6,6,4,0,1,12,0,0
2016,16,Franklin,130,14,45,1,5,21,1,2,7,12,3,4,5,2,0,8,0,0
2016,15,Essex,90,5,33,1,2,14,2,0,6,9,1,1,2,0,0,14,0,0
2016,14,Erie,1324,183,322,139,97,136,0,4,136,90,61,35,0,1,3,112,6,0
2016,13,Dutchess,351,39,98,35,3,37,0,2,24,36,11,6,2,0,0,59,0,0
2016,12,Delaware,91,1,37,6,1,19,0,1,8,5,1,0,0,0,0,13,0,0
2016,11,Cortland,127,17,44,12,6,11,0,1,9,10,3,2,2,0,0,8,0,0
2016,10,Columbia,153,15,41,16,5,14,1,1,13,11,8,2,4,0,0,22,1,0
2016,09,Clinton,177,14,65,11,6,25,2,1,13,13,2,4,2,2,1,16,0,0
2016,08,Chenango,114,12,29,4,1,10,0,2,4,9,3,2,2,0,0,15,21,0
2016,07,Chemung,167,17,53,15,2,20,0,1,18,16,5,2,1,1,0,16,0,0
2016,06,Chautauqua,312,29,97,6,21,44,5,1,23,31,10,7,1,8,0,31,0,0
2016,05,Cayuga,148,22,43,5,8,21,0,1,13,12,6,3,3,0,0,9,0,1
2016,04,Cattaraugus,178,17,49,5,16,26,0,0,23,16,2,7,2,3,0,12,0,0
2016,03,Broome,354,37,89,40,22,58,10,3,23,26,1,4,7,1,0,32,1,0
2016,02,Allegany,99,6,26,4,6,13,1,0,9,13,2,3,1,1,0,14,0,0
2016,01,Albany,466,56,153,19,22,31,1,3,18,30,10,12,0,2,0,44,61,6
2015,31,Onondaga,663,101,202,33,5,104,12,0,70,54,23,10,0,10,,35,3,0
2015,57,Yates,44,2,16,1,1,6,0,1,4,4,0,1,1,0,,8,0,0
2015,56,Wyoming,83,9,17,3,4,15,0,2,10,7,1,1,2,6,,0,0,6
2015,55,Westchester,1025,162,357,62,31,131,11,2,60,63,43,6,9,2,,90,0,0
2015,54,Wayne,151,20,44,6,1,37,0,1,15,10,3,2,2,0,,9,0,0
2015,53,Washington,121,13,35,8,4,18,0,1,11,10,5,3,3,2,,8,0,0
2015,52,Warren,121,12,30,5,4,30,0,1,10,10,2,3,0,6,,8,0,0
2015,51,Ulster,308,36,115,12,5,63,1,1,20,20,6,6,2,0,,20,0,0
2015,50,Tompkins,183,22,55,13,6,25,7,1,16,12,2,3,2,0,,0,1,19
2015,49,Tioga,87,5,24,5,3,7,1,4,12,6,2,2,3,0,,14,0,0
2015,48,Sullivan,154,11,53,6,1,22,0,0,10,11,12,5,4,3,,17,0,0
2015,47,Suffolk,1607,273,467,31,25,352,38,2,129,129,13,12,9,1,,127,0,0
2015,46,Steuben,163,11,50,5,10,19,0,0,15,24,6,2,0,0,,21,0,0
2015,45,Seneca,79,7,34,0,0,10,1,1,8,7,1,1,2,0,,8,0,0
2015,44,Schuyler,51,2,13,2,3,5,0,1,4,4,2,1,1,0,,8,3,1
2015,43,Schoharie,74,5,28,3,1,13,0,0,6,6,1,1,1,0,,8,0,0
2015,42,Schenectady,214,31,105,15,1,18,2,1,11,13,5,3,2,2,,8,0,0
2015,41,Saratoga,207,10,67,11,3,43,1,1,24,20,5,6,4,2,,10,0,0
2015,40,St. Lawrence,234,19,46,20,13,42,4,2,17,25,7,7,3,0,,26,2,0
2015,39,Rockland,368,38,142,2,16,55,1,3,34,25,10,1,7,0,,24,8,2
2015,38,Rensselaer,226,30,79,14,8,26,0,1,18,16,6,6,5,0,,18,0,0
2015,37,Putnam,80,3,19,6,3,20,1,0,4,5,1,0,3,2,,14,0,0
2015,36,Otsego,113,10,50,0,4,19,0,1,5,5,1,3,3,1,,13,0,0
2015,35,Oswego,252,26,103,13,6,20,0,0,29,20,5,5,4,5,,15,0,0
2015,34,Orleans,82,7,27,0,2,14,0,0,5,9,2,2,1,3,,11,0,0
2015,33,Orange,437,69,150,30,0,48,0,3,34,30,12,5,13,0,,40,1,2
2015,32,Ontario,164,15,49,13,11,27,1,8,13,13,2,2,0,2,,7,0,0
2015,66,New York City,21900,4816,2949,1699,562,2253,15,204,1712,802,1221,22,3,89,,71,1992,3490
2015,30,Oneida,456,89,104,20,8,41,25,3,43,46,15,15,11,1,,34,0,0
2015,29,Niagara,416,85,98,25,18,38,0,1,49,38,14,13,5,7,,26,0,0
2015,28,Nassau,786,123,245,48,41,137,2,4,47,47,10,0,5,1,,77,0,0
2015,27,Montgomery,105,10,28,2,4,20,2,1,11,8,0,2,2,1,,14,0,0
2015,26,Monroe,929,226,313,40,36,60,0,4,84,58,32,16,8,21,,26,5,0
2015,25,Madison,115,9,31,16,4,15,0,1,10,13,1,5,1,0,,10,0,0
2015,24,Livingston,121,16,42,10,4,13,0,1,7,8,1,2,0,2,,18,0,0
2015,23,Lewis,68,5,20,1,3,8,0,1,8,5,2,2,2,3,,9,0,0
2015,22,Jefferson,213,18,77,6,3,27,0,1,31,13,6,5,5,0,,19,1,0
2015,21,Herkimer,124,10,31,8,5,15,0,1,10,13,1,5,5,0,,19,0,2
2015,20,Hamilton,9,1,2,0,0,1,0,0,1,1,0,0,0,0,,2,0,0
2015,19,Greene,97,7,32,3,2,10,2,3,6,7,6,1,2,0,,16,0,0
2015,18,Genesee,105,5,37,9,3,20,0,0,9,8,2,1,1,0,,8,0,0
2015,17,Fulton,124,10,39,1,7,10,6,1,8,11,6,6,4,2,,13,0,0
2015,16,Franklin,128,13,44,1,4,19,1,1,6,13,4,4,6,2,,8,0,0
2015,15,Essex,91,5,32,2,1,15,2,0,6,9,2,2,2,0,,13,0,0
2015,14,Erie,1317,165,302,129,98,179,0,5,132,86,58,44,0,9,,105,5,0
2015,13,Dutchess,325,35,91,32,4,35,0,2,24,33,10,4,2,0,,53,0,0
2015,12,Delaware,92,1,37,6,1,19,0,1,8,5,0,0,0,0,,14,0,0
2015,11,Cortland,127,16,42,13,6,12,0,1,9,10,3,2,3,0,,9,0,0
2015,10,Columbia,147,14,39,16,4,16,1,1,13,11,8,0,4,0,,19,1,0
2015,09,Clinton,180,15,63,10,6,27,2,1,14,13,2,5,2,2,,16,0,0
2015,08,Chenango,115,12,30,6,0,12,0,3,4,10,4,2,2,0,,11,19,0
